"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","feature_13","id","target"
"12.131432583642061","14.78459292345522","34.45008992992243","11.383921357590463","23.180637702949333","38.45948351494353","26.48045333974461","36.824231750331656","29.861555327274413","20.797340757288968","21.6065766729565","26.751963594682014","13.869156772741839","0","0"
"17.47353588636636","34.58233054762193","23.393957408936565","38.17523661843113","33.797528010602335","15.658713775225362","37.03081490879261","22.294077506585538","21.738157164137753","29.77041691794463","23.39564685723022","26.833412381307053","27.80172520734718","1","1"
"32.79580916444886","14.790845248019835","35.87573870429073","36.37898629554529","37.80349741998796","29.74501832893979","15.649624247714113","11.670375891997507","17.410980348329517","23.293235727661585","16.64546040522893","25.608710740921694","27.40507470129146","2","1"
"15.98201061187723","35.370433964480085","12.230282903004849","38.6017653775626","41.87000186311691","20.653483451172345","31.858433631095046","29.468059297903736","36.939754213211025","33.56515149344005","22.881007859430646","31.499321757247117","10.719441425865945","3","1"
"31.55494187179597","21.537817085913353","11.049646312643848","14.224949973460095","20.011360951924935","17.161195267149555","33.74770469052169","36.11658347194234","34.30321517694713","19.267772637960388","21.83863679275327","18.723891464813683","14.320351380771099","4","0"
"38.32373460868237","24.5767174236038","11.661207496518749","21.71124122502407","15.971896656284159","12.65805921895639","22.619644519877415","35.29725597101641","32.91746263625086","38.41408328022016","25.532457428318846","11.68405910230678","17.29629739214095","5","1"
"22.73341683888413","38.89690067830253","13.819693755650057","37.733083067618345","25.197290586591603","25.472616514670744","28.51433528944445","24.035411035953437","10.363603553478898","26.208027819305546","32.6236588437765","25.290878047939444","37.985369136370366","6","1"
"34.79860106751122","18.521456864653565","16.684430529106592","21.539381875235993","32.571573559023314","36.28696287927738","14.681872854328246","32.18776594966518","24.871280678132575","27.762683396054612","11.847385125623106","20.858418655532702","24.230715719990695","7","0"
"13.896872687614357","38.31430260610071","9.846382986141151","29.308214907626006","22.443685385049676","29.76797122233976","21.826920513901737","10.349085681631157","11.138886644267302","12.346137596769456","12.102449249191135","25.6950069300484","15.43933048860948","8","0"
"35.55809130843199","32.13464363249587","31.296582729024784","26.389392051665332","27.44576613948734","19.46910760748391","23.39552268575737","16.0837780585475","11.941324416770618","37.18431083687167","29.765810368598185","32.06469479269595","30.02971133872037","9","0"
"37.00979485490539","11.461591658074623","34.29334397812773","34.98489201310642","29.93606159061335","26.237767022895447","31.95215579573778","26.742416348637164","35.95671528534732","28.65023994096871","24.020938520514214","34.36679494353087","20.55460103782804","10","0"
"28.91410483043779","21.998429182239462","17.58100629720523","19.732576175459233","24.40819663362546","39.22858518537866","16.025407171641596","38.63318408364973","16.521057911196955","27.974655053267522","31.831277413053773","11.016794909571077","16.166045551535937","11","0"
