"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","id","target"
"45.531834384241506","46.83396582114066","91.35670312904635","45.5062662358562","59.298901864123664","53.208014106424784","40.884734939439575","53.576295742313334","94.35099858735667","83.27720884117582","51.97168648767926","0","1"
"39.01399279627978","48.17808812469899","56.848193716775945","82.52671245077899","63.03232148309602","69.82781855216082","90.99202541263514","47.80387372239317","93.11273907409596","70.63347744224721","88.74531021734117","1","1"
"38.90616644592203","47.45006399038541","86.91937085228842","57.08387025999836","78.34460989694585","88.34446684911853","42.24874011640948","72.56894315645235","56.492162888754734","68.90553423836026","45.77511774468021","2","1"
"39.13854594340603","89.52023726907673","48.83311704193416","81.66270312313289","62.09754686381496","42.45953920247878","78.35016962136672","54.04583484569447","56.18899514581124","86.3655318199856","62.78989078040118","3","1"
"39.49502362137681","57.10891014181148","41.92094353397613","56.436305291126764","75.82052615333603","53.80105569125444","60.963417932825706","70.50253781839021","63.74316098980595","73.21140420131302","71.24360947171856","4","1"
"62.04718379593042","86.34857081554053","48.04383899737042","63.69727453477824","72.39940786385952","90.91467373628377","90.10519351095468","75.83888366547019","94.18119998655747","88.2435787251389","78.99336808076602","5","0"
"50.9661717129838","91.2847558640387","66.53797993759308","92.97118415753941","69.615178106179","71.26603916091477","47.6814637803475","71.63903181089096","58.39205120407184","79.0351050148708","89.87015250321147","6","1"
"43.37807958794595","82.51253026832391","85.12349464468515","68.90710450774208","82.27851071779565","41.14327413458715","90.36982112779057","89.97461849196733","75.58090454066168","91.11824601066537","43.90049285438145","7","1"
"80.11883391101706","73.73489567032708","79.3953814248719","54.076897218929574","83.56680728666095","69.41487727680037","91.90543002545883","73.46590969046629","48.53663133754231","48.24159593998617","78.85902518934009","8","1"
"77.07433878768568","61.58489048655755","52.581521454160175","84.59513896338287","42.392765702605054","74.26114280083618","82.11640526083339","42.129095310597094","55.387877917980006","70.46488832719672","74.1084549304756","9","1"
"54.64525690857506","89.58283440563572","55.550428685235694","82.55344375421295","54.64378640759897","61.13938526087483","64.54000824877426","68.28155951295258","77.76713419029697","51.97157318303966","86.8624984333832","10","1"
"82.55628043376608","45.49016107225747","89.27024710085753","79.85647920885167","65.99218137273262","93.97165295858551","91.76418122081127","86.02014417496326","68.44070979381561","83.37662470882977","66.28031640613631","11","1"
"50.22755116703899","92.00480630177053","78.04997160653514","91.82220407199334","88.31614943171246","60.879635567643696","52.69742621491881","48.504027532267614","63.663942233401485","53.38283090230161","71.61713957938723","12","0"
"44.13451219797396","78.03295010193851","68.89066839827096","60.20659375088306","49.96094171748632","57.68271636866895","39.81614831507314","58.804360129048575","63.05722110899669","90.52917069133386","71.5749904367627","13","0"
"93.20927747905411","75.93382417181842","91.39580034613566","63.72165168411232","70.7924657195509","82.72354562149735","78.22477563054201","84.7813474711853","49.061037587903435","78.12695019514148","90.18821638011437","14","1"
"67.18929273164865","79.73434601814922","69.58617744641727","57.395350479829695","84.96052827554568","51.489258809556745","55.83209871210015","55.404006005657024","43.412706010203216","41.55683490622736","93.4869640044059","15","1"
"79.70164345961491","55.0139505276944","52.550907843704046","45.690840765164246","45.52959458082954","58.05006528338728","74.06786996197062","64.36143483649663","40.42616736036976","88.22946230833604","44.94041671273824","16","0"
"59.981866869569714","51.64374896584491","51.49417999968945","78.10302337940982","83.00117391944354","63.048995253791304","57.302441857963714","67.44299871573715","65.91206238956656","51.55391998859438","74.50452680310384","17","1"
